codigo;carta_esp;card_eng;descrip;como_afecta_year
11;La Rueda de la Fortuna;;"La Rueda de la Fortuna, marcada con el número 10, simboliza los ciclos de la vida, el destino y los cambios inevitables. La carta muestra una rueda giratoria en el centro, adornada con símbolos místicos como letras hebreas y las iniciales T-A-R-O, que representan tanto el tarot como el concepto de ""rota,"" que significa rueda en latín. En las esquinas de la carta se encuentran las figuras de un toro, un león, un águila y un ángel, que simbolizan los cuatro evangelistas y los elementos de estabilidad en medio del cambio. A menudo, la rueda está flanqueada por figuras ascendentes y descendentes, como una esfinge en la cima y una serpiente en descenso, que representan el equilibrio entre lo positivo y lo negativo en los giros de la fortuna. En una lectura, esta carta indica cambios significativos, giros del destino y oportunidades inesperadas. Puede ser un recordatorio de que la vida es cíclica y que tanto los momentos buenos como los malos son transitorios.";La Rueda de la Fortuna en tu lectura para el año simboliza un ciclo de cambios, destino y evolución. Esta carta indica que tu año estará marcado por giros inesperados de la suerte, y que el flujo de la vida podría llevarte por caminos sorprendentes. Puede ser un periodo en el que las circunstancias externas cambien de manera significativa, lo que te empujará a adaptarte a nuevas situaciones. La Rueda de la Fortuna también habla de que este es un tiempo de karmas y ciclos que se completan, por lo que algunas situaciones o relaciones que ya no te sirven pueden llegar a su fin, mientras que nuevas oportunidades surgirán. Esta carta te anima a estar abierto a los cambios, confiando en que todo sucede por una razón y que estos giros pueden traerte crecimiento y aprendizaje. El año podría estar lleno de altibajos, pero lo importante es cómo te enfrentas a esos cambios y cómo los aprovechas para avanzar.
12;La Fuerza;;La Fuerza, numerada con el 11 o el 8 dependiendo del mazo, representa el coraje, la paciencia y la compasión como herramientas para dominar los desafíos. La imagen central muestra a una mujer tranquila y serena que controla con delicadeza a un león feroz, símbolo de las pasiones, los instintos y las emociones primarias. Ella no usa la fuerza bruta, sino una calma y ternura que reflejan su dominio interno. Lleva una corona y un símbolo de infinito sobre su cabeza, denotando su conexión con la sabiduría espiritual y el autocontrol eterno. El paisaje verde sugiere un ambiente de crecimiento y fertilidad, reforzando la idea de que el equilibrio interno permite el florecimiento personal. En una lectura, esta carta sugiere que la verdadera fortaleza proviene del dominio sobre uno mismo, la perseverancia y la capacidad de enfrentar los retos con gracia y confianza.;La Fuerza en tu lectura para el año indica un tiempo en el que tu fortaleza interior será clave para superar cualquier desafío. Esta carta representa el coraje, la determinación y la paciencia necesarias para manejar las adversidades con calma y control. Si aparece La Fuerza, te sugiere que este será un año en el que necesitarás confiar en tu capacidad para mantener la compostura incluso en situaciones difíciles. No se trata solo de fuerza física, sino de la fortaleza mental y emocional para afrontar tus miedos y superar cualquier obstáculo. Es posible que enfrentes pruebas o situaciones que requieran gran valentía y autocontrol, pero La Fuerza te asegura que tienes el poder para manejarlas con gracia. Este año, tu capacidad para mantener la calma y el equilibrio interno te permitirá tener éxito y encontrar soluciones incluso en momentos de incertidumbre.
13;El Ahorcado;;El Ahorcado, con el número 12, es una carta que simboliza la pausa, el sacrificio y una nueva perspectiva. Representa a un hombre colgado boca abajo de un árbol en forma de T, con una pierna cruzada detrás de la otra en una postura que evoca serenidad y aceptación. Su cabeza está rodeada de un halo de luz, indicando iluminación espiritual o una nueva forma de ver las cosas. A pesar de la aparente inmovilidad, el rostro del hombre muestra paz, sugiriendo que esta suspensión es voluntaria y necesaria para el crecimiento personal. En una lectura, El Ahorcado invita a soltar el control, aceptar sacrificios temporales o reevaluar situaciones desde una perspectiva diferente. Puede significar un período de espera, reflexión profunda o la necesidad de encontrar significado en la adversidad.;El Ahorcado en tu lectura para el año sugiere un periodo de espera, sacrificio y perspectiva. Esta carta a menudo se asocia con la necesidad de ver las cosas desde un ángulo diferente y de estar dispuesto a hacer sacrificios para lograr un resultado a largo plazo. Si aparece El Ahorcado, podría ser un año en el que te enfrentes a momentos de estancamiento o a la necesidad de dejar ir lo que ya no te sirve para avanzar. Es posible que debas tomarte un tiempo para reflexionar profundamente sobre tus deseos y objetivos antes de tomar una acción decisiva. El Ahorcado también indica que, a través de la paciencia y el sacrificio, puedes obtener una comprensión más profunda de ti mismo y de tu situación, lo que te permitirá avanzar de manera más clara cuando sea el momento adecuado. Esta carta te anima a no temer a la pausa o la transición, ya que son esenciales para tu crecimiento personal y espiritual.
14;La Muerte;;La Muerte, marcada con el número 13, es una carta profundamente transformadora que simboliza finales, renacimientos y cambios inevitables. Contrario a lo que sugiere su nombre, no implica necesariamente una muerte literal, sino el final de una etapa o ciclo para dar paso a algo nuevo. La carta muestra a un esqueleto, a menudo montado en un caballo blanco, avanzando con firmeza, mientras figuras humanas de diferentes rangos sociales caen a sus pies, indicando que la transformación afecta a todos por igual. En el fondo, un sol naciente simboliza nuevos comienzos, y el río serpenteante alude al flujo continuo de la vida. En una lectura, La Muerte es una carta de transformación radical, que puede implicar dejar ir el pasado, aceptar cambios inevitables y prepararse para una nueva etapa. Su mensaje es poderoso: cada final es una oportunidad para el renacimiento.;La Muerte, lejos de ser una carta negativa, simboliza transformación, renacimiento y el fin de un ciclo. En el contexto de tu año, esta carta sugiere que estás a punto de experimentar una transformación significativa, ya sea en tu vida personal, profesional o espiritual. La Muerte indica que algo llegará a su fin para dar paso a algo nuevo. Puede ser un año de liberación y cierre de capítulos, lo que te permitirá empezar de nuevo con una mentalidad más clara y renovada. Este proceso puede implicar momentos difíciles de dejar ir, pero es importante recordar que es necesario para hacer espacio para el crecimiento y las nuevas oportunidades. Aunque puede ser un año de grandes cambios y posiblemente desafíos, La Muerte te asegura que lo que está por venir es más alineado con tu propósito y bienestar. No tengas miedo de los finales, ya que son el preludio de nuevos comienzos.
15;La Templanza;;"La Templanza, asociada con el número 14, representa equilibrio, armonía y moderación. La carta muestra a un ángel andrógino que vierte agua de una copa a otra, creando un flujo constante que simboliza la unión de opuestos y el flujo natural de las energías. Una de las alas del ángel está en el agua y la otra en tierra firme, indicando el equilibrio entre el mundo material y el espiritual. En el fondo, un sendero serpenteante lleva hacia un sol radiante, sugiriendo un viaje hacia la iluminación. La flor de lirio alude a la pureza y el autocontrol. En una lectura, esta carta invita a encontrar la calma en medio del caos, buscar soluciones equilibradas y evitar los extremos. También puede ser una señal de sanación, paciencia y la necesidad de integrar diferentes aspectos de la vida para alcanzar una armonía duradera.""";La Templanza en tu lectura para el año sugiere que será un tiempo de equilibrio, moderación y armonización. Esta carta habla de la necesidad de encontrar un punto medio en las situaciones de la vida y de abordar las experiencias con paciencia y reflexión. Si te aparece La Templanza, podría ser un año en el que necesitarás hacer ajustes para crear un equilibrio más saludable en tu vida, ya sea en tus relaciones, tu trabajo o tu bienestar emocional. Es un buen momento para evitar los extremos y para buscar la armonía, ya que la moderación será clave para tu éxito. La Templanza también simboliza la capacidad de integrar diferentes aspectos de ti mismo o de tu vida, como fusionar ideas o esfuerzos dispares para crear algo más grande. Será un año para trabajar en tu autocuidado, mejorar tus hábitos y enfocarte en un enfoque tranquilo y equilibrado ante los desafíos de la vida.
16;El Diablo;;El Diablo, numerado con el 15, representa las ataduras, las obsesiones y los aspectos oscuros de la psique. La imagen central muestra a una figura demoníaca con cuernos y alas de murciélago, sentada en un trono oscuro. A sus pies, una pareja desnuda está encadenada, simbolizando la sumisión voluntaria a deseos materiales, adicciones o relaciones tóxicas. Sin embargo, las cadenas suelen ser lo suficientemente holgadas como para ser removidas, lo que indica que estas ataduras son autoimpuestas y que la libertad es posible con consciencia y esfuerzo. La carta está llena de símbolos de indulgencia y exceso, pero también es una invitación a enfrentar nuestras sombras y comprender nuestras limitaciones. En una lectura, El Diablo puede señalar patrones de comportamiento destructivos, la tentación o la dependencia, pero también sugiere que el poder de romper con estas cadenas reside en nosotros mismos.;El Diablo en tu lectura para el año puede señalar un periodo de enfrentamiento con tus sombras, tentaciones y limitaciones personales. Esta carta sugiere que podrías estar atrapado en situaciones o patrones de comportamiento que no te benefician, y que es momento de tomar conciencia de las cadenas que te atan, ya sea a una relación tóxica, a hábitos destructivos o a pensamientos limitantes. El Diablo también habla de las influencias externas que pueden tratar de manipularte o controlar tu vida, pero la clave aquí es reconocer tu poder para liberarte. Este será un año en el que te enfrentarás a tus propios miedos y deseos más oscuros, y tendrás la oportunidad de liberarte de aquello que te retiene. Aunque puede ser un año desafiante, El Diablo te recuerda que la verdadera libertad viene de tomar responsabilidad por tus acciones y romper con lo que ya no te sirve.
17;La Torre;;La Torre, marcada con el número 16, es una carta de destrucción repentina, revelaciones y transformaciones drásticas. La imagen muestra una torre alta siendo alcanzada por un rayo, con llamas que emergen de su cima y figuras humanas cayendo al vacío. Este impacto simboliza la intervención divina que destruye estructuras que ya no sirven para el crecimiento. Las coronas que caen representan la pérdida del ego o de las falsas seguridades. Aunque puede parecer catastrófica, La Torre ofrece la posibilidad de reconstrucción sobre bases más sólidas y auténticas. En una lectura, esta carta indica cambios inesperados y desestabilizadores, pero también la oportunidad de liberarse de ilusiones y construir algo más verdadero. Es una advertencia de que, aunque el proceso sea difícil, el resultado final será una transformación significativa.;La Torre en tu lectura para el año sugiere un periodo de cambios drásticos, a menudo inesperados, que pueden sacudir los cimientos de lo que conoces. Esta carta simboliza la destrucción de estructuras, creencias o situaciones que ya no son sostenibles, a veces de manera abrupta. Si te aparece La Torre, es probable que este año enfrentes eventos que alteren tu vida de manera significativa, pero este colapso es necesario para hacer espacio a una nueva forma de ser o de ver las cosas. Aunque la Torre puede generar miedo o incertidumbre, también puede ser una oportunidad para liberarte de las limitaciones que te mantenían atado. La carta te invita a aceptar los cambios con una mentalidad abierta, reconociendo que, aunque las caídas son difíciles, ellas pavimentan el camino hacia la reconstrucción y el renacimiento. Este será un año de transformación profunda y, a pesar de las dificultades, será esencial para tu crecimiento personal.
18;La Estrella;;La Estrella, numerada con el 17, es un símbolo de esperanza, inspiración y renovación espiritual. La carta muestra a una mujer desnuda arrodillada junto a un estanque, vertiendo agua de dos cántaros, uno sobre la tierra y otro en el agua, simbolizando el equilibrio entre el mundo material y el emocional. Sobre su cabeza brilla una estrella grande rodeada por siete estrellas más pequeñas, que representan la conexión con el universo y los chakras. El paisaje sereno y el pájaro posado en un árbol sugieren calma y rejuvenecimiento. En una lectura, La Estrella trae un mensaje de optimismo, claridad y conexión con el propósito espiritual. Puede indicar un momento de sanación, confianza en el futuro y alineación con el verdadero ser interior. Es una promesa de que, después de las dificultades, la luz siempre regresa.;La Estrella en tu lectura para el año es una carta de esperanza, renovación y claridad. Esta carta indica que después de tiempos difíciles, este será un año de sanación y recuperación. La Estrella simboliza la luz al final del túnel, ofreciendo guía y inspiración cuando más lo necesitas. Si te aparece, es una señal de que el año traerá consigo una sensación de paz y tranquilidad, y un renovado sentido de propósito. Podrías sentirte más conectado con tus sueños y aspiraciones, y experimentarás un flujo de energía positiva que te ayudará a manifestar tus deseos. Es un año en el que tendrás la oportunidad de sanar heridas pasadas, restaurar tu fe en ti mismo y en el mundo, y seguir adelante con esperanza renovada. La Estrella también sugiere un tiempo de crecimiento espiritual, donde la claridad mental y emocional te guiarán en tus decisiones.
19;La Luna;;La Luna, marcada con el número 18, simboliza el subconsciente, los sueños y las ilusiones. La carta muestra un paisaje nocturno con una luna llena que ilumina el cielo, proyectando una luz ambigua sobre el mundo. Dos torres flanquean el horizonte, mientras un camino serpentea desde un estanque hacia el infinito. Un perro y un lobo aúllan hacia la luna, representando la dualidad entre lo domesticado y lo salvaje, y desde el agua emerge un cangrejo, indicando la conexión con las emociones ocultas y el inconsciente. La Luna sugiere incertidumbre, confusión y la necesidad de confiar en la intuición para navegar por lo desconocido. En una lectura, esta carta puede señalar ilusiones, secretos o momentos en los que las cosas no son lo que parecen. También invita a explorar el mundo interno y descubrir verdades que están más allá de lo visible.;La Luna en tu lectura para el año simboliza la confusión, la ilusión y la necesidad de confiar en tu intuición para navegar los caminos inciertos. Esta carta sugiere que este año puede ser un periodo de incertidumbre, en el que las cosas no son lo que parecen y tendrás que aprender a ver más allá de las apariencias. Puede haber engaños o malentendidos, por lo que es importante proceder con cautela y no tomar todo al pie de la letra. La Luna también habla de los aspectos ocultos de ti mismo o de tu vida que necesitan ser explorados. Puede ser un año en el que surjan miedos, dudas o ansiedades, pero también es una invitación para profundizar en tu mundo emocional y subconsciente. Si eres capaz de escuchar tu intuición y hacer frente a los miedos que emergen, este año puede brindarte una gran comprensión y liberación. La clave será no dejarse llevar por la confusión y mantenerte conectado con tu sabiduría interna.
20;El Sol;;El Sol, numerado con el 19, es una carta de alegría, éxito y vitalidad. Muestra un paisaje iluminado por un sol radiante que ocupa el centro del cielo, simbolizando la claridad, la verdad y el triunfo. En primer plano, un niño pequeño desnudo monta un caballo blanco, que representa la pureza y la libertad. El niño lleva una bandera roja que alude a la energía vital y el entusiasmo, mientras que detrás de él florecen girasoles, que simbolizan la vida, la abundancia y la conexión con la luz. En una lectura, El Sol indica un período de felicidad, logros y claridad. Es una señal de confianza renovada, éxito en proyectos importantes y la capacidad de superar obstáculos con optimismo. Su mensaje es claro: la luz del sol ilumina todo, trayendo verdad, alegría y prosperidad.;El Sol en tu lectura para el año es una carta de éxito, claridad y vitalidad. Esta carta es un signo positivo, indicando que será un año lleno de luz, energía y realización. El Sol trae consigo una sensación de alegría y optimismo, y sugiere que todo lo que emprendas tendrá grandes posibilidades de éxito si te mantienes auténtico y positivo. Este será un año de logros y expansión, donde tu confianza y autoestima se fortalecerán. Si te has estado sintiendo incierto o bloqueado, El Sol iluminará tu camino, brindándote la claridad necesaria para avanzar con seguridad. Además, puede ser un tiempo para disfrutar de la vida, para compartir momentos felices con los demás y para expresar tu creatividad y tu verdadero ser. Esta carta también puede indicar una sensación general de bienestar y salud, por lo que el año podría ser muy positivo en cuanto a tu energía física y emocional.
